Ind	Poss_Paralogs	Low_Coverage/Errors	Miss_Genotype	Total_Failed	Total_Loci	Prop_Success
BMA_1B-G09_CC-06	15	83	7	105	6048	0.982638888888889
BMA_1B-G10_CC-07	21	90	13	124	6048	0.979497354497355
BMA_1B-G11_CC-08	53	79	12	144	6048	0.976190476190476
BMA_1B-G12_CC-09	8	81	5	94	6048	0.984457671957672
BMA_2A-A01_00762-bma	18	87	364	469	6048	0.922453703703704
BMA_2A-A03_00760-bma	64	97	826	987	6048	0.836805555555556
BMA_2A-A05_00744-bma	4	92	11	107	6048	0.982308201058201
BMA_2A-A07_00732-bma	3	80	14	97	6048	0.98396164021164
BMA_2A-A09_00737-bma	7	83	45	135	6048	0.977678571428571
BMA_2A-A11_00735-bma	7	92	28	127	6048	0.979001322751323
BMA_2A-A12_00733-bma	5	88	14	107	6048	0.982308201058201
BMA_2A-B02_MB-13	8	90	104	202	6048	0.966600529100529
BMA_2A-B03_OP040417GN02-3	11	97	89	197	6048	0.967427248677249
BMA_2A-B04_OP040417GN02-7	20	87	196	303	6048	0.949900793650794
BMA_2A-B05_MB-14	28	93	416	537	6048	0.911210317460317
BMA_2A-B06_MB-15	39	85	754	878	6048	0.854828042328042
BMA_2A-B07_MB-16	6	84	14	104	6048	0.982804232804233
BMA_2A-B08_MB-17	18	82	1389	1489	6048	0.75380291005291
BMA_2A-B09_MB-18	4	96	55	155	6048	0.974371693121693
BMA_2A-B10_MB-19	2	72	9	83	6048	0.986276455026455
BMA_2A-B11_MB-20	8	80	13	101	6048	0.983300264550265
BMA_2A-B12_MB-21	3	85	4	92	6048	0.98478835978836
BMA_2A-C01_MS-57	5	88	9	102	6048	0.983134920634921
BMA_2A-C02_MS-58	4	89	19	112	6048	0.981481481481482
BMA_2A-C03_MS-59	7	93	102	202	6048	0.966600529100529
BMA_2A-C04_MS-60	6	86	115	207	6048	0.96577380952381
BMA_2A-C05_MS-61	9	95	44	148	6048	0.975529100529101
BMA_2A-C06_MS-62	6	87	28	121	6048	0.979993386243386
BMA_2A-C07_MS-63	9	82	6	97	6048	0.98396164021164
BMA_2A-C08_MS-01	8	84	10	102	6048	0.983134920634921
BMA_2A-C09_MS-02	5	88	18	111	6048	0.981646825396825
BMA_2A-C10_MS-03	3	75	16	94	6048	0.984457671957672
BMA_2A-C11_MS-04	7	85	46	138	6048	0.97718253968254
BMA_2A-C12_MS-05	4	99	15	118	6048	0.980489417989418
BMA_2A-D01_LA-004	4	85	9	98	6048	0.983796296296296
BMA_2A-D03_LA-016	6	80	9	95	6048	0.984292328042328
BMA_2A-D04_LA-051	3	81	11	95	6048	0.984292328042328
BMA_2A-D05_LA-063	4	88	383	475	6048	0.92146164021164
BMA_2A-D06_LA-081	7	88	12	107	6048	0.982308201058201
BMA_2A-E01_LA-003	3	96	19	118	6048	0.980489417989418
BMA_2A-E08_LA-064	6	85	13	104	6048	0.982804232804233
BMA_2A-E09_LA-072	4	90	15	109	6048	0.981977513227513
BMA_2A-E10_LA-074	9	73	710	792	6048	0.869047619047619
BMA_2A-E12_LA-084	23	101	738	862	6048	0.857473544973545
BMA_2A-F01_BB-17-112	5	80	9	94	6048	0.984457671957672
BMA_2A-F02_BB-17-116	11	76	1379	1466	6048	0.75760582010582
BMA_2A-F03_BB-17-118	0	88	15	103	6048	0.982969576719577
BMA_2A-F05_BB-17-120	4	82	7	93	6048	0.984623015873016
BMA_2A-F06_BB-17-121	2	84	13	99	6048	0.983630952380952
BMA_2A-F07_BB-17-123	6	87	392	485	6048	0.919808201058201
BMA_2A-F08_BB-17-330	26	102	821	949	6048	0.843088624338624
BMA_2A-F10_BB-17-517	18	96	457	571	6048	0.905588624338624
BMA_2A-F11_BB-17-518	31	94	970	1095	6048	0.818948412698413
BMA_2A-G01_FLG-03	2	90	17	109	6048	0.981977513227513
BMA_2A-G02_FLG-06	7	100	107	214	6048	0.964616402116402
BMA_2A-G03_FLG-09	4	81	20	105	6048	0.982638888888889
BMA_2A-G04_FLG-24	3	81	9	93	6048	0.984623015873016
BMA_2A-G05_FLG-26	1	79	8	88	6048	0.985449735449735
BMA_2A-G06_FLG-30	17	78	1213	1308	6048	0.783730158730159
BMA_2A-G07_FLG-34	11	83	191	285	6048	0.952876984126984
BMA_2A-G08_FLG-43	6	88	5	99	6048	0.983630952380952
BMA_2A-G09_FLG-45	3	87	9	99	6048	0.983630952380952
BMA_2A-G10_FLG-81	3	92	18	113	6048	0.981316137566138
BMA_2A-G11_FLG-88	1	81	8	90	6048	0.985119047619048
BMA_2A-H01_BB-17-140	2	90	35	127	6048	0.979001322751323
BMA_2B-A01_BM005	4	85	15	104	6048	0.982804232804233
BMA_2B-A04_BM018	35	94	564	693	6048	0.885416666666667
BMA_2B-A07_BM026	3	83	27	113	6048	0.981316137566138
BMA_2B-A08_BM072	72	101	91	264	6048	0.956349206349206
BMA_2B-A09_BM083	3	92	10	105	6048	0.982638888888889
BMA_2B-A10_BM091	5	87	11	103	6048	0.982969576719577
BMA_2B-A11_BM101	2	82	5	89	6048	0.985284391534392
BMA_2B-A12_BM110	5	90	148	243	6048	0.959821428571429
BMA_2B-B01_CC-12	4	90	35	129	6048	0.978670634920635
BMA_2B-B02_CC-18	2	94	22	118	6048	0.980489417989418
BMA_2B-B03_CC-19	7	80	13	100	6048	0.983465608465608
BMA_2B-B04_CC-20	4	89	13	106	6048	0.982473544973545
BMA_2B-B05_CC-21	3	87	10	100	6048	0.983465608465608
BMA_2B-B06_CC-22	2	80	13	95	6048	0.984292328042328
BMA_2B-B07_CC-27	4	78	22	104	6048	0.982804232804233
BMA_2B-B08_CC-28	4	78	22	104	6048	0.982804232804233
BMA_2B-B09_CC-35	1	85	17	103	6048	0.982969576719577
BMA_2B-B11_CC-41	2	86	35	123	6048	0.979662698412698
BMA_2B-B12_CC-42	6	89	38	133	6048	0.978009259259259
BMA_2B-C01_MB-22	8	89	11	108	6048	0.982142857142857
BMA_2B-C02_MB-23	11	85	194	290	6048	0.952050264550265
BMA_2B-C03_MB-24	5	88	21	114	6048	0.981150793650794
BMA_2B-C04_MB-25	6	83	17	106	6048	0.982473544973545
BMA_2B-C05_MB-26	5	81	12	98	6048	0.983796296296296
BMA_2B-C06_MB-27	5	86	12	103	6048	0.982969576719577
BMA_2B-C07_MB-28	6	81	22	109	6048	0.981977513227513
BMA_2B-C08_MB-29	5	85	25	115	6048	0.98098544973545
BMA_2B-C09_MB-30	1	85	12	98	6048	0.983796296296296
BMA_2B-C10_MB-31	3	79	12	94	6048	0.984457671957672
BMA_2B-C11_MB-32	4	74	4	82	6048	0.986441798941799
BMA_2B-D01_LA-079	3	96	18	117	6048	0.980654761904762
BMA_2B-E01_CC-11	24	92	450	566	6048	0.906415343915344
BMA_2B-E03_CC-38	7	85	39	131	6048	0.978339947089947
BMA_2B-E04_CC-44	18	86	9	113	6048	0.981316137566138
BMA_2B-E05_MB-34	6	88	12	106	6048	0.982473544973545
BMA_2B-E06_MB-35	7	92	13	112	6048	0.981481481481482
BMA_2B-E07_MB-36	2	88	11	101	6048	0.983300264550265
BMA_2B-E08_MB-37	11	83	26	120	6048	0.98015873015873
BMA_2B-E09_MB-38	7	90	16	113	6048	0.981316137566138
BMA_2B-E10_MB-39	6	82	20	108	6048	0.982142857142857
BMA_2B-E11_MB-40	5	87	10	102	6048	0.983134920634921
BMA_2B-E12_MB-41	3	87	16	106	6048	0.982473544973545
BMA_2B-F01_MB-42	2	80	4	86	6048	0.985780423280423
BMA_2B-F02_MB-43	13	79	6	98	6048	0.983796296296296
BMA_2B-F03_MS-13	8	86	8	102	6048	0.983134920634921
BMA_2B-F04_MS-14	6	82	2	90	6048	0.985119047619048
BMA_2B-F05_MS-15	5	86	4	95	6048	0.984292328042328
BMA_2B-F06_MS-16	5	81	10	96	6048	0.984126984126984
BMA_2B-F07_MS-17	6	82	3	91	6048	0.984953703703704
BMA_2B-F08_MS-30	14	87	11	112	6048	0.981481481481482
BMA_2B-F09_MS-31	7	86	11	104	6048	0.982804232804233
BMA_2B-F10_BB-17-141	2	77	9	88	6048	0.985449735449735
BMA_2B-F11_BB-17-153	2	80	6	88	6048	0.985449735449735
BMA_2B-F12_BB-17-181	12	85	140	237	6048	0.960813492063492
BMA_2B-G01_BB-17-183	15	93	138	246	6048	0.959325396825397
BMA_2B-G02_BB-17-190	8	80	7	95	6048	0.984292328042328
BMA_2B-G03_BB-17-192	7	86	54	147	6048	0.975694444444444
BMA_2B-G04_BB-17-143	9	84	12	105	6048	0.982638888888889
BMA_2B-G05_BMAR-03	4	84	149	237	6048	0.960813492063492
BMA_2B-G06_FLG-12	8	80	9	97	6048	0.98396164021164
BMA_2B-G07_FLG-14	7	81	7	95	6048	0.984292328042328
BMA_2B-G08_FLG-36	3	75	7	85	6048	0.985945767195767
BMA_2B-G09_FLG-44	7	80	7	94	6048	0.984457671957672
BMA_2B-G10_FLG-47	6	77	9	92	6048	0.98478835978836
BMA_2B-G11_FLG-71	8	83	4	95	6048	0.984292328042328
BMA_2B-G12_FLG-84	3	85	15	103	6048	0.982969576719577
BMA_2B-H01_CS3	2	80	5	87	6048	0.985615079365079
BMA_2B-H02_MB06	10	84	12	106	6048	0.982473544973545
BMA_3A-A01_CC-17	38	85	0	123	6048	0.979662698412698
BMA_3A-A02_CC-12	56	91	16	163	6048	0.973048941798942
BMA_3A-A03_CC-15	13	97	46	156	6048	0.974206349206349
BMA_3A-A04_CC-46	11	80	27	118	6048	0.980489417989418
BMA_3A-A05_CC-23	2	83	13	98	6048	0.983796296296296
BMA_3A-A06_CC-24	3	88	8	99	6048	0.983630952380952
BMA_3A-A09_CC-33	5	88	14	107	6048	0.982308201058201
BMA_3A-A10_CC-37	38	89	7	134	6048	0.977843915343915
BMA_3A-A11_CC-39	7	86	7	100	6048	0.983465608465608
BMA_3A-A12_CC-40	20	90	95	205	6048	0.966104497354497
BMA_3A-B01_BM047	43	86	880	1009	6048	0.833167989417989
BMA_3A-B03_BM056	36	90	68	194	6048	0.96792328042328
BMA_3A-B04_BM057	4	94	11	109	6048	0.981977513227513
BMA_3A-B05_BM061	8	89	161	258	6048	0.95734126984127
BMA_3A-B06_BM062	5	89	211	305	6048	0.949570105820106
BMA_3A-B07_BM067	16	97	68	181	6048	0.970072751322751
BMA_3A-B08_BM068	2	101	20	123	6048	0.979662698412698
BMA_3A-B09_BM082	2	100	74	176	6048	0.970899470899471
BMA_3A-B10_BM084	7	102	110	219	6048	0.963789682539683
BMA_3A-B11_BM099	2	101	28	131	6048	0.978339947089947
BMA_3A-B12_BM100	9	96	15	120	6048	0.98015873015873
BMA_3A-C01_FLG-46	24	98	102	224	6048	0.962962962962963
BMA_3A-C02_FLG-48	10	81	9	100	6048	0.983465608465608
BMA_3A-C03_FLG-49	2	78	18	98	6048	0.983796296296296
BMA_3A-C04_FLG-50	3	78	15	96	6048	0.984126984126984
BMA_3A-C06_FLG-60	7	86	8	101	6048	0.983300264550265
BMA_3A-C07_FLG-61	6	96	26	128	6048	0.978835978835979
BMA_3A-C08_FLG-62	4	87	21	112	6048	0.981481481481482
